"","Dataset","forestryRF","caretRidgeRF_nonstrict","caretRidgeTree","ranger","glmnet","gbm","pre","cubist","local_RF","BART"
"1","artificial-LM-128",107.5162211,3950.862834195,87.294452429,283.531538495,19.212549055,5.057583618,26438.703204275,176.930678977,312.136339526,35.423912981
"2","artificial-LM-256",115.812628265,7742.712705912,66.009423806,295.81097224,21.401746591,5.20997438,32862.37831108,420.852918799,314.258286046,42.107091949
"3","artificial-LM-512",255.853174967,15645.203996838,89.937741712,318.19419857,17.560763847,5.267146564,35280.013752731,910.856607769,670.080004899,28.536488992
"4","artificial-LM-1024",652.72655312,18828.661944486,136.304983749,1680.892711353,18.019199393,5.325479536,59097.293320502,1770.350446927,2018.639632267,109.121963616
"5","artificial-LM-2048",2038.264699726,61368.551797867,292.785029327,3665.115909637,19.516653184,5.182531823,110760.954947429,3475.314322851,6904.356184136,128.637534629
"6","simulated-Step-Function-128",95.013083909,4222.74569365,70.979696576,154.091701013,14.917689285,5.173907904,35536.544567337,221.443895981,357.139770508,38.214442423
"7","simulated-Step-Function-256",157.277287373,8722.393895342,90.112562631,249.051570824,9.298201502,5.274135046,36432.083168051,415.478391445,432.367078173,63.741330204
"8","simulated-Step-Function-512",308.338573364,17300.12598301,104.548724852,730.554142508,10.524997011,5.369804756,22211.417147741,824.546998252,2289.787703264,71.597301373
"9","simulated-Step-Function-1024",777.315935184,25485.364264761,159.874134929,1200.576670577,9.819641306,5.367902701,63595.591838004,1870.940674598,3258.444716958,56.425981847
"10","simulated-Step-Function-2048",1552.887512487,95378.05911955,339.513207573,2259.106387538,8.257530953,5.480697869,138910.916493275,3773.224132254,6684.191216443,138.372719261
"11","simulated-StepLinear-Function-128",152.801393845,4448.135662761,80.735011807,266.638693632,19.074237103,5.174037031,21422.433531066,206.787631841,763.671798908,34.212009832
"12","simulated-StepLinear-Function-256",242.934647317,7285.81526439,72.00838628,278.943988855,15.31890759,5.18717087,36782.397808587,370.511969809,1226.368365466,32.318699551
"13","simulated-StepLinear-Function-512",260.498440571,14571.356454485,79.231494397,524.220133052,16.460981307,5.271206064,23715.439875979,934.684407526,1235.236697517,98.707395672
"14","simulated-StepLinear-Function-1024",694.452008305,34464.29839092,125.122779991,1156.080741003,12.502681143,5.412267542,60440.080915391,1733.845162389,2988.433973538,70.373040162
"15","simulated-StepLinear-Function-2048",1295.655912643,60.811424768,247.743728908,2326.142039304,9.136615795,5.456320383,102910.453540763,4093.892688429,4692.921785494,142.873292869
"16","Friedman_1",1748.263464015,39060.659248638,92.989231757,327.941070331,17.760648985,5.090603296,37339.805280834,2209.933622862,1761.181877925,1309.451875391
"17","Friedman_2",1984.999666521,38392.62050706,86.3327018,390.933249711,116.760637894,5.162669904,32484.567283507,734.669832562,5795.808493059,834.442007799
"18","Friedman_3",1591.266315949,43119.814669188,132.526966389,126.562477454,7.266835063,5.216656044,45214.017826445,912.691102941,1289.534541398,1508.491486419
"19","Boston_Housing_fold1",1019.760882576,49666.177931289,187.613953764,204.598987058,26.552960528,5.106041713,33493.143543788,1073.804350527,468.119151532,689.192938294
"20","Boston_Housing_fold2",1110.395712091,47242.409875903,199.33665029,347.647796124,20.779903165,5.126919447,38135.036451205,1040.779027162,1178.993669769,655.086153351
"21","Boston_Housing_fold3",1074.831669584,39732.06509107,199.918407176,231.337574891,24.785933157,5.170864474,34998.095281838,1072.83418279,509.194604554,575.559474536
"22","Boston_Housing_fold4",780.480814526,48999.176426985,140.341096155,313.404318274,28.445414225,5.179909507,36814.093593403,1110.411121669,633.824213209,522.570728486
"23","Boston_Housing_fold5",634.301483787,42457.382927525,198.729402443,255.516309713,16.671476085,5.144403607,35129.968359081,1182.219583721,494.311677004,16.856395762
"24","Ozone_fold1",628.319066346,12873.633644513,82.097641685,368.307218835,36.452201238,4.813876841,28086.65515965,386.059858627,295.143210971,408.186133898
"25","Ozone_fold2",387.266473635,13332.453435775,83.682332097,349.82156128,25.275747022,5.113663558,14792.251761444,401.913765287,904.733388417,649.081387054
"26","Ozone_fold3",405.444807365,11695.827058043,86.343530614,197.318327296,30.982713961,4.657644365,17759.629511034,372.174394053,242.144882409,479.954869394
"27","Ozone_fold4",298.195189264,10385.478485025,121.429303646,204.763339152,33.82187977,5.175843876,22129.866970723,403.839655697,441.123286851,426.275839966
"28","Ozone_fold5",424.129736487,5312.729116683,73.672840303,266.261051982,22.992512266,5.182779837,23023.490783305,420.318060446,244.15498892,389.260187317
"29","Servo_fold1",188.779322933,9477.807944845,62.924897602,96.554573195,13.371747222,4.875041511,32820.002101779,339.014260378,109.478345846,348.063286328
"30","Servo_fold2",294.313266596,12632.366216763,86.416955004,96.353516154,15.34371989,5.193282663,16961.891747225,407.536739737,117.970527589,397.371270349
"31","Servo_fold3",204.85000696,16824.503112185,366.220150168,92.835093445,9.472974809,5.131945078,34238.839818649,544.701752051,87.046637364,404.096151317
"32","Servo_fold4",291.539268829,12380.03295023,99.193555101,197.396665089,16.701421456,0.197662286,21316.814873691,286.788996335,189.577958035,377.540394948
"33","Servo_fold5",327.331510859,12137.91500303,198.013968143,24.481562437,14.838026588,0.208147392,25762.87900456,337.948338535,113.114861725,375.320555765
"34","Abalone",5369.010730043,7082.649178486,180.294354235,494.726858674,14.253262334,0.41743688,NA,1750.427700707,13208.253937314,2171.880726286
"35","autos",467.961063524,1275.419228832,217.421947752,381.72477287,187.876768228,0.551036464,NA,1958.398410156,3304.226752628,1275.419228832
"36","bike",336.83904062,281.807817039,316.814894478,74.73734306,55.08139961,0.362512064,19006.874973725,1816.196451724,781.967719938,492.026152602
